Club,Club Speed (MPH),Ball Speed (MPH),Launch Angle (Deg),Spin Rate (RPM),Face Angle (Deg),Face to Path (Deg),Club Path (Deg),Smash Factor,Carry (Yds),Total (Yds)
54 Wedge,81.6,96.4,27.7,9179,-5.7,-7.5,1.8,1.18,119.1,119.3
54 Wedge,84.9,93.7,33.4,6859,-,-,-,1.1,115.1,116.5
54 Wedge,85,94.6,29.6,8638,-4.5,-6.7,2.2,1.11,116.1,116.5
54 Wedge,82.9,94.3,30.6,6042,-5.1,-8.3,3.2,1.14,121.6,125.9
54 Wedge,85.1,98,27.7,8706,-,-,-,1.15,122.1,122.6
54 Wedge,84.4,92.8,30.3,10077,0.9,-0.9,1.8,1.1,110.9,109.7
54 Wedge,85.1,96.8,26.6,9137,-5,-6.4,1.4,1.14,120.7,121.3
54 Wedge,85,96.8,28.5,9126,-2.4,-4.8,2.4,1.14,119.1,119
54 Wedge,86.3,95.8,29,8337,5.1,2.5,2.6,1.11,118.8,119.6
54 Wedge,86.1,95.8,29.5,6544,-,-,-,1.11,123,126.5
54 Wedge,86,98.1,28.1,8663,-4.7,-7.3,2.6,1.14,122,122.5
7 Iron,89,131,15.4,4509,-4.5,-4.7,0.2,1.47,198.5,211.1
7 Iron,91,125.1,20.9,5169,4.8,3.8,1,1.37,182.2,189.3
7 Iron,89.5,127.7,18.2,4254,-5.7,-2.5,-3.2,1.43,195.3,206.7
7 Iron,90.2,127.6,18,4526,-2.1,-2.3,0.2,1.41,192.9,203.5
7 Iron,90.3,127.5,18.2,4648,-2.1,-1.1,-1,1.41,191.8,201.9
7 Iron,89.5,129.6,16.6,4222,-3.9,-4.3,0.4,1.45,198.7,211.5
7 Iron,89.7,129.9,16.4,4595,-4.1,-3.9,-0.2,1.45,196.2,207.7
7 Iron,89.5,125.6,20.2,4708,1.8,0.8,1,1.4,187.2,195.9
7 Iron,88.6,124.1,16.7,5132,0.8,0.6,0.2,1.4,182.7,192.9
5 Wood,101.5,150.6,15,3714,-3,2.2,-5.2,1.48,243,255.7
5 Wood,101.6,149.3,14,2899,-3.7,1.1,-4.8,1.47,250.2,269.9
5 Wood,102.7,144.8,14.9,2565,-3.4,1.2,-4.6,1.41,244.6,267.2
5 Wood,102.5,144.1,14.5,2643,-5.3,-0.5,-4.8,1.41,241.9,264.4
5 Wood,103.2,143.4,15.3,2586,-6,-1.2,-4.8,1.39,242,264
5 Wood,101.5,149.8,12.4,2429,-4.4,-0.8,-3.6,1.48,250.5,277.6
5 Wood,103.7,150.2,13.5,2771,-2.6,0.8,-3.4,1.45,252.5,274
5 Wood,102.5,143.7,14.8,2577,-3.6,1.4,-5,1.4,241.7,264.5
5 Wood,101.6,150.6,12.9,3088,-4.9,-0.9,-4,1.48,249.8,269
5 Wood,101.6,150.8,13.9,3695,-3.2,2.6,-5.8,1.48,243.1,257.2
5 Wood,102.8,153.1,11.5,2583,-5,1.4,-6.4,1.49,254.7,281.2
5 Wood,102.5,149.5,14.1,3088,-2.3,2.5,-4.8,1.46,247.9,266.2
4 Hybrid,91.3,135.2,13,4474,-0.3,1.9,-2.2,1.48,206.1,219.7
4 Hybrid,95.8,139,8.9,5198,2,5.6,-3.6,1.45,201.2,216.2
4 Hybrid,96.6,140.8,13.7,5175,-0.8,1.8,-2.6,1.46,210.2,219.9
4 Hybrid,97.1,142.8,15.1,5086,0.2,3.8,-3.6,1.47,213.5,222.3
4 Hybrid,96.7,140.6,16.8,3665,-1.3,4.3,-5.6,1.45,224.6,238
4 Hybrid,97.1,144.4,14.5,3877,-3,-0.6,-2.4,1.49,229.8,243.2
4 Hybrid,99.5,147,14.3,4238,-3.2,1.4,-4.6,1.48,230.1,241.5
4 Hybrid,98.1,142.9,16.3,3728,0.7,5.3,-4.6,1.46,228,241.2
4 Hybrid,98.6,146.4,13.6,4231,-5.7,-1.3,-4.4,1.48,229.2,241.4
3 Wood,78.1,77.5,21.1,6291,14.8,9.2,5.6,0.99,91.2,102.6
3 Wood,78.1,87.4,11.8,7121,-,-,-,1.12,99,115.2
3 Wood,-,88.1,16.5,9073,-,-,-,-,106.3,113.4
3 Wood,-,105.5,3.5,2745,-,-,-,-,80.3,135.2
3 Wood,84.5,76.3,22,7222,1,-7.2,8.2,0.9,89,97.8
3 Wood,-,84,8.4,10167,-,-,-,-,83.3,97
3 Wood,-,39.5,2.6,6561,-,-,-,-,4.3,14.8
3 Wood,84.9,125.6,0.6,1660,2,-2.8,4.8,1.48,22.6,90.1
3 Wood,85.8,93.5,9.3,7599,12.8,7.2,5.6,1.09,98.8,117.9
3 Wood,-,29.2,46.9,4919,-,-,-,-,17.6,19.3
3 Wood,91,79.3,21.2,13982,-,-,-,0.87,91.4,90.8
3 Wood,93.3,141.5,4.8,2030,4.4,-1.2,5.6,1.52,163.7,222.6
3 Wood,92.4,138.9,7,3295,15.9,9.9,6,1.5,177.8,216.6
3 Wood,92.7,89.7,17.1,12138,-4.3,-5.7,1.4,0.97,106.9,108.9
3 Wood,86.1,75.5,20.9,14778,-,-,-,0.88,84.7,83.9
3 Wood,88.5,129.3,0.3,1780,-4.1,-13.3,9.2,1.46,4.7,73.6
3 Wood,96.6,90.9,15.4,11874,-,-,-,0.94,108.5,111.5
3 Wood,89.1,81.3,20.3,6540,-,-,-,0.91,98.7,109.2
3 Wood,85.4,121.3,4.8,3628,6.1,2.3,3.8,1.42,113.9,163.6
3 Wood,-,116,0.1,2826,-,-,-,-,14.3,72.2
3 Wood,88.5,131,12.1,4619,15.6,12.2,3.4,1.48,181.7,200.9
3 Wood,92.8,84.1,15.3,11252,-,-,-,0.91,96.5,101.4
3 Wood,90.5,79.4,22.1,7000,-,-,-,0.88,95.8,104.3
3 Wood,88,121.8,9.2,3252,1.9,-3.1,5,1.38,167.6,199.5
3 Wood,91.4,128,0.5,2347,-1.7,-5,3.3,1.4,37.5,102.7
3 Wood,-,96.9,8.4,7874,-,-,-,-,111.3,127.4
3 Wood,87.9,125,4.9,3335,3.5,-2.3,5.8,1.42,151.7,193.4
3 Wood,92.4,90.8,10.6,7783,-,-,-,0.98,103.5,118.6
3 Wood,84.6,74,22.2,3582,-5.4,-5,-0.4,0.87,87.8,106.4
3 Wood,87.1,128.1,5.6,4102,14.4,9.8,4.6,1.47,133.6,176.8
3 Wood,-,46.6,39.3,5270,-,-,-,-,41.6,46.4
3 Wood,84.2,79.7,14.7,9439,-,-,-,0.95,87.8,97
3 Wood,85.3,75.5,23.9,7290,-,-,-,0.89,89,96.4
3 Wood,89.1,60.4,39.6,10013,-,-,-,0.68,60.7,59.8
3 Wood,53.8,40.4,42.6,6891,-,-,-,0.75,31.9,33.5
