Club Speed,Ball Speed,Launch Angle,Spin Rate,Face Angle,Face to Path,Club Path,Attack Angle,Launch Direction
"[99.9, 105.8]","[147.3, 155.6]","[10.0, 14.3]","[4484.6, 5566.8]","[-5.3, -1]","[-0.1, 2.7]","[-7.3, -5]","[-2.3, -0.4]","[12.4, 14.1]"
,"[148.0, 149.2]","[13.6, 14.1]",,,,,,
"[102.3, 102.9]",,"[13.6, 14.1]",,,,,,
,"[127.6, 128.9]",,"[4604.9, 4711.0]",,,,,
"[89.3, 89.9]",,,"[4604.9, 4711.0]",,,,,
,,"[14.9, 15.3]","[3756.1, 3862.2]",,,,,
"[89.27, 89.9]","[126.3, 127.6]",,,,,,,
,"[149.2, 150.1]",,,"[-3.9, -3.5]",,,,
"[101.7, 102,3]",,,,"[-4.2, -3.9]",,,,
,,"[14.5, 14.9]",,"[-3.5, -3.1]",,,,
,"[148.0, 149.2]",,,,"[1.2, 1.5]",,,
"[102.3, 102.9]",,,,,"[1.2, 1.5]",,,
,,"[14.5, 14.9]",,,"[1.5, 1.8]",,,
,,,,"[-3.9, -3.5]","[1.2, 1.5]",,,
