WKT,full_id,osm_id,osm_type,golf,natural,type,surface,highway,golf_cart,bicycle,ref,par,layer,path
"MULTIPOLYGON (((-76.5845327 39.3259104,-76.5845319 39.3259041,-76.5845268 39.3259002,-76.5845209 39.3258979,-76.5845154 39.3258967,-76.5845098 39.3258987,-76.5844907 39.3259116,-76.5844655 39.3259377,-76.584461 39.3259415,-76.5844555 39.3259447,-76.5844496 39.3259542,-76.5844449 39.3259685,-76.5844438 39.3259777,-76.5844476 39.3259806,-76.5844527 39.3259825,-76.5844593 39.3259835,-76.5844654 39.3259789,-76.5844752 39.3259733,-76.5844838 39.3259694,-76.5844901 39.3259647,-76.5845015 39.3259549,-76.5845199 39.325934,-76.5845315 39.3259172,-76.5845327 39.3259104)))",w763069741,"763069741",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5842349 39.3260068,-76.5842296 39.3260015,-76.5842226 39.3259903,-76.5842161 39.3259832,-76.5842124 39.325976,-76.5842087 39.3259667,-76.5842069 39.3259471,-76.5842047 39.3259385,-76.5842004 39.3259307,-76.5841948 39.3259233,-76.5841853 39.3259195,-76.5841732 39.3259209,-76.584168 39.3259266,-76.5841631 39.3259338,-76.5841603 39.3259412,-76.5841587 39.3259519,-76.5841628 39.3259731,-76.5841668 39.3259841,-76.5841714 39.3259946,-76.5841769 39.3260042,-76.5841862 39.3260151,-76.5841955 39.3260218,-76.5842035 39.3260249,-76.5842207 39.3260266,-76.5842303 39.3260259,-76.5842388 39.3260214,-76.5842423 39.3260155,-76.5842411 39.3260104,-76.5842349 39.3260068)))",w763069743,"763069743",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5842878 39.3257918,-76.5842955 39.3257848,-76.5843045 39.3257786,-76.5843344 39.3257595,-76.5843408 39.3257562,-76.5843439 39.3257498,-76.5843452 39.3257354,-76.5843412 39.3257269,-76.5843322 39.3257223,-76.5843217 39.3257207,-76.5843122 39.3257226,-76.5842943 39.3257292,-76.5842761 39.3257409,-76.5842428 39.3257715,-76.5842313 39.3257839,-76.5842135 39.3258039,-76.5842125 39.3258101,-76.5842135 39.3258166,-76.5842165 39.3258233,-76.5842212 39.3258271,-76.5842304 39.3258297,-76.5842409 39.3258278,-76.5842517 39.325824,-76.58426 39.325818,-76.5842668 39.3258118,-76.5842739 39.325807,-76.5842878 39.3257918)))",w763069744,"763069744",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.583095 39.3239943,-76.5831074 39.3239894,-76.5831104 39.3239847,-76.5831094 39.3239743,-76.5830933 39.3239518,-76.5830396 39.3239118,-76.5830031 39.3238962,-76.5829759 39.3238916,-76.5829347 39.3238926,-76.5829146 39.3238968,-76.5829102 39.3239007,-76.5829086 39.3239061,-76.5829089 39.3239118,-76.5829153 39.3239139,-76.5829582 39.3239108,-76.5829927 39.3239147,-76.5830135 39.3239206,-76.5830296 39.3239318,-76.5830544 39.323944,-76.5830591 39.3239481,-76.5830816 39.3239754,-76.5830886 39.3239912,-76.583095 39.3239943)))",w949383967,"949383967",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5812527 39.3228056,-76.5812332 39.3228131,-76.5812332 39.3228339,-76.5812771 39.3228546,-76.5813161 39.3228679,-76.581338 39.3228754,-76.58136 39.3228697,-76.5813673 39.3228546,-76.5813124 39.3228188,-76.5812527 39.3228056)))",w1035250887,"1035250887",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5814904 39.3225868,-76.5814478 39.322583,-76.5814014 39.3225962,-76.5813697 39.3226207,-76.58136 39.3226472,-76.5813746 39.3226641,-76.5814087 39.3226528,-76.5814478 39.3226264,-76.581477 39.3226075,-76.5814916 39.3226047,-76.5814904 39.3225868)))",w1035250888,"1035250888",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5779041 39.321522,-76.5778518 39.3215244,-76.5777965 39.3215173,-76.5777627 39.3215173,-76.5777566 39.3215434,-76.5777781 39.3215743,-76.5778795 39.3215696,-76.5779379 39.3215601,-76.5779717 39.3215363,-76.577944 39.3215292,-76.5779041 39.321522)))",w1035251361,"1035251361",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5781836 39.3215648,-76.5781806 39.3216028,-76.5782266 39.3216219,-76.5782819 39.3216409,-76.5783342 39.3216361,-76.5783557 39.3216052,-76.5783311 39.3215815,-76.5782666 39.3215624,-76.5782359 39.3215577,-76.5781836 39.3215648)))",w1035251362,"1035251362",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5780454 39.3212036,-76.5779962 39.3211822,-76.5779501 39.3211893,-76.5779225 39.3212083,-76.5779348 39.3212321,-76.5779901 39.3212368,-76.5780423 39.3212321,-76.5780454 39.3212036)))",w1035251363,"1035251363",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5790625 39.3202401,-76.5790226 39.3202318,-76.5789919 39.3202175,-76.5789443 39.3201937,-76.5789412 39.3202246,-76.5789688 39.3202508,-76.5790026 39.3202686,-76.5790272 39.3202769,-76.5790625 39.3202745,-76.5790687 39.3202615,-76.5790625 39.3202401)))",w1035393727,"1035393727",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
