WKT,full_id,osm_id,osm_type,golf,natural,type,surface,highway,golf_cart,bicycle,ref,par,layer,path
"MULTIPOLYGON (((-76.584382 39.3257618,-76.5843422 39.3257925,-76.5843007 39.3258241,-76.5842618 39.325848,-76.5842363 39.3258708,-76.5842249 39.3258926,-76.5842189 39.3259211,-76.5842235 39.3259501,-76.5842329 39.325975,-76.5842584 39.3260031,-76.5842832 39.3260181,-76.5843087 39.3260238,-76.5843362 39.3260233,-76.5843771 39.3260088,-76.5844133 39.3259839,-76.5844421 39.3259444,-76.5844743 39.3259061,-76.5845145 39.3258726,-76.5845394 39.3258563,-76.5845666 39.3258187,-76.5845872 39.3257853,-76.5846196 39.3257435,-76.5846481 39.3257078,-76.5846842 39.3256697,-76.5847274 39.3256279,-76.5847765 39.3255816,-76.5848196 39.3255493,-76.5848681 39.3255214,-76.5849203 39.3254856,-76.5849578 39.325456,-76.5850185 39.3254046,-76.5850889 39.3253484,-76.5851391 39.3253097,-76.5851957 39.3252681,-76.5852469 39.3252237,-76.5852999 39.3251766,-76.5853297 39.3251452,-76.585366 39.3251088,-76.5853984 39.3250763,-76.585458 39.3250342,-76.5855498 39.3249611,-76.5856121 39.3248981,-76.5856799 39.3248373,-76.5857348 39.3247814,-76.5857657 39.3247149,-76.5858102 39.3246209,-76.5858609 39.324519,-76.5859509 39.3244033,-76.5860265 39.3243289,-76.5861178 39.3242324,-76.586184 39.3241571,-76.586251 39.3240938,-76.5863219 39.3240339,-76.586398 39.32397,-76.586414 39.3239345,-76.5864376 39.323895,-76.5864818 39.3238509,-76.5865201 39.3238198,-76.5865624 39.3237788,-76.5865977 39.3237482,-76.5866219 39.3237154,-76.5866766 39.3236639,-76.586723 39.3236142,-76.5867622 39.3235867,-76.5867989 39.3235502,-76.5868289 39.3235134,-76.5868815 39.3234607,-76.5869532 39.3233802,-76.5869892 39.3233327,-76.5870245 39.3232844,-76.5870517 39.3232491,-76.5870785 39.3232003,-76.587104 39.3231653,-76.5871288 39.3231304,-76.5871505 39.3230984,-76.58717 39.3230701,-76.5871794 39.3230352,-76.5871828 39.3230057,-76.5871717 39.3229741,-76.5871412 39.3229498,-76.5871107 39.3229274,-76.5870826 39.3229159,-76.5870337 39.3229093,-76.5869746 39.3229306,-76.5869064 39.3229814,-76.5868448 39.3230555,-76.5867818 39.3231336,-76.5867414 39.3231901,-76.5866974 39.323237,-76.5866504 39.3232921,-76.5865913 39.3233519,-76.5865427 39.3234059,-76.5865033 39.3234516,-76.5864683 39.3234998,-76.5864237 39.3235435,-76.5863515 39.3236175,-76.5863003 39.3236744,-76.5862426 39.3237292,-76.5861903 39.3237909,-76.586154 39.3238373,-76.586102 39.3238943,-76.5860666 39.3239353,-76.5860269 39.323972,-76.5859866 39.3240183,-76.5859493 39.3240647,-76.5859097 39.3241088,-76.5858772 39.3241447,-76.5858562 39.3241708,-76.5858231 39.3242062,-76.5857822 39.3242491,-76.5857486 39.3242933,-76.5857017 39.3243489,-76.5856516 39.3244074,-76.5855913 39.3244754,-76.5855446 39.3245225,-76.5855014 39.3245795,-76.5854503 39.3246319,-76.5854091 39.3246874,-76.5853501 39.3247503,-76.585291 39.3248264,-76.5852498 39.3248722,-76.5852105 39.3249185,-76.5851693 39.3249626,-76.5851271 39.3250067,-76.5851042 39.3250394,-76.5850706 39.3250747,-76.5850475 39.325099,-76.5850229 39.3251252,-76.5849962 39.3251532,-76.5849653 39.3251865,-76.5849322 39.3252205,-76.584902 39.325252,-76.5848746 39.3252791,-76.5848441 39.3253066,-76.5848136 39.3253352,-76.5847855 39.3253637,-76.5847613 39.3253863,-76.5847338 39.3254131,-76.5847095 39.325434,-76.5846853 39.3254594,-76.5846639 39.3254811,-76.5846397 39.3255041,-76.5846179 39.3255226,-76.5845964 39.3255469,-76.5845761 39.3255678,-76.5845546 39.3255912,-76.5845318 39.3256132,-76.5845131 39.3256358,-76.5844883 39.3256609,-76.584468 39.3256826,-76.5844519 39.3257031,-76.5844232 39.3257303,-76.5844034 39.3257444,-76.584382 39.3257618),(-76.5845411 39.3258133,-76.58454 39.3257984,-76.5845279 39.3257805,-76.5845092 39.3257673,-76.5844839 39.3257566,-76.5844553 39.3257524,-76.5844261 39.3257571,-76.5843991 39.325766,-76.5843782 39.3257813,-76.5843725 39.3257855,-76.5843584 39.3257958,-76.5843358 39.3258133,-76.584311 39.3258324,-76.5842885 39.3258507,-76.5842654 39.3258673,-76.5842483 39.3258852,-76.5842384 39.3259069,-76.5842377 39.3259265,-76.5842415 39.3259442,-76.5842491 39.32596,-76.5842574 39.325971,-76.584267 39.3259835,-76.584277 39.3259953,-76.5842917 39.3260042,-76.5843089 39.3260086,-76.5843255 39.3260086,-76.5843398 39.3260064,-76.5843589 39.3259994,-76.5843779 39.3259832,-76.5843913 39.3259703,-76.584407 39.3259493,-76.5844241 39.3259338,-76.5844361 39.3259201,-76.5844491 39.3259056,-76.584463 39.325892,-76.5844744 39.325882,-76.584491 39.3258731,-76.5845043 39.3258648,-76.5845154 39.3258567,-76.5845268 39.3258478,-76.5845343 39.3258379,-76.5845379 39.3258266,-76.5845411 39.3258133)))",r12795036,"12795036",relation,fairway,,multipolygon,grass,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5803481 39.3235158,-76.5803766 39.3234952,-76.5803889 39.3234828,-76.5803955 39.3234681,-76.5804003 39.3234395,-76.5804003 39.3234094,-76.5803974 39.3233947,-76.5803823 39.3233661,-76.5803585 39.3233419,-76.5803424 39.3233316,-76.5803263 39.3233243,-76.5802713 39.3233126,-76.5802533 39.3233111,-76.5802154 39.3233111,-76.5801784 39.323314,-76.5801224 39.3233228,-76.5800646 39.3233287,-76.5799593 39.3233419,-76.5798009 39.323347,-76.5796786 39.3233463,-76.5796037 39.3233434,-76.5794008 39.3233155,-76.5792832 39.3232942,-76.5790755 39.323273,-76.5790205 39.3232671,-76.5789152 39.3232634,-76.5787986 39.323262,-76.5787028 39.3232546,-76.5785871 39.3232443,-76.5784544 39.3232245,-76.5783622 39.323198,-76.5783233 39.3231913,-76.5782824 39.3231913,-76.5782556 39.3231944,-76.578218 39.3232063,-76.5781939 39.3232152,-76.5781711 39.3232266,-76.5781496 39.3232395,-76.5781423 39.3232484,-76.5781362 39.3232577,-76.5781262 39.3232893,-76.5781262 39.3233116,-76.5781295 39.323322,-76.578149 39.3233506,-76.578157 39.3233604,-76.5781778 39.3233754,-76.578202 39.3233884,-76.5782442 39.3233941,-76.5782864 39.323392,-76.5783408 39.323377,-76.5783662 39.3233671,-76.5783998 39.3233464,-76.578436 39.3233282,-76.5784635 39.3233236,-76.578564 39.323322,-76.5786968 39.3233241,-76.5787263 39.3233267,-76.5787538 39.3233319,-76.5788014 39.3233441,-76.578847 39.3233594,-76.5789147 39.3233817,-76.5790784 39.3234569,-76.5791514 39.3234908,-76.5792078 39.3235155,-76.57925 39.3235275,-76.5793734 39.3235492,-76.5796798 39.3235819,-76.5798589 39.3235912,-76.5799648 39.3235928,-76.5800015 39.3235906,-76.5800632 39.3235844,-76.5801219 39.3235774,-76.5801895 39.3235648,-76.580219 39.3235606,-76.580274 39.3235477,-76.5803142 39.3235342,-76.5803481 39.3235158),(-76.5783139 39.3233697,-76.5783515 39.3233563,-76.578391 39.3233257,-76.5784024 39.323307,-76.5784085 39.3232759,-76.5783978 39.3232452,-76.578383 39.3232276,-76.5783636 39.3232136,-76.5783253 39.3232022,-76.5782871 39.3232048,-76.5782361 39.3232167,-76.5782006 39.3232307,-76.5781778 39.3232432,-76.5781597 39.3232598,-76.5781483 39.32328,-76.5781456 39.3233008,-76.5781523 39.3233324,-76.5781664 39.3233511,-76.5781852 39.3233671,-76.5782113 39.323377,-76.5782395 39.3233791,-76.5782677 39.3233791,-76.5783139 39.3233697)))",r13267105,"13267105",relation,fairway,,multipolygon,grass,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5831386 39.3242785,-76.5831506 39.3242469,-76.5831513 39.324236,-76.5831473 39.3242059,-76.5831278 39.3241551,-76.5830916 39.3240882,-76.5830769 39.3240446,-76.5830621 39.324015,-76.5830487 39.3239969,-76.5830091 39.3239689,-76.5829837 39.3239606,-76.5829568 39.3239564,-76.5829314 39.3239549,-76.5829052 39.3239575,-76.5828677 39.3239704,-76.5828469 39.3239839,-76.5828294 39.324,-76.5828113 39.3240275,-76.5828066 39.3240493,-76.5828093 39.3240814,-76.582818 39.3241167,-76.5828395 39.3241458,-76.582867 39.3241717,-76.5829012 39.3241919,-76.5829112 39.3241997,-76.5829314 39.3242298,-76.5829535 39.3242692,-76.5829756 39.3242977,-76.5830058 39.3243149,-76.5830326 39.3243221,-76.5830608 39.3243206,-76.583095 39.3243092,-76.5831225 39.3242962,-76.5831386 39.3242785),(-76.5830259 39.3241707,-76.5830467 39.3241561,-76.5830614 39.3241385,-76.5830715 39.3241177,-76.5830773 39.3240953,-76.5830745 39.3240748,-76.5830622 39.3240425,-76.5830393 39.3240114,-76.5830226 39.3239943,-76.5829991 39.3239824,-76.5829749 39.3239746,-76.5829468 39.3239735,-76.58292 39.3239777,-76.5828717 39.323999,-76.5828529 39.324014,-76.5828375 39.324043,-76.5828314 39.3240638,-76.5828294 39.324097,-76.5828361 39.3241177,-76.5828556 39.3241463,-76.5828744 39.3241624,-76.5828965 39.3241758,-76.582922 39.3241862,-76.5829367 39.3241893,-76.5829642 39.3241888,-76.5830051 39.324181,-76.5830259 39.3241707)))",r13267106,"13267106",relation,fairway,,multipolygon,grass,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5814529 39.3249917,-76.5814036 39.3249866,-76.5813713 39.3249976,-76.5813381 39.3250226,-76.5813069 39.32506,-76.5812936 39.325093,-76.5812964 39.3251208,-76.5813239 39.3251597,-76.5813761 39.3252023,-76.5815638 39.3253475,-76.5823111 39.3259156,-76.5826772 39.3262036,-76.5828706 39.3263415,-76.5829721 39.3264273,-76.5830641 39.3265212,-76.583102 39.3265704,-76.58312 39.3266056,-76.583139 39.3266511,-76.583166 39.3266817,-76.5832009 39.3266999,-76.5832358 39.3267066,-76.5832686 39.3267056,-76.5833002 39.3266937,-76.5833323 39.326674,-76.5833652 39.3266465,-76.5833873 39.3266164,-76.5833934 39.3265972,-76.5833887 39.326564,-76.5833679 39.3265318,-76.5833424 39.3265085,-76.5833089 39.3264909,-76.58327 39.3264779,-76.5832385 39.3264706,-76.5832217 39.3264592,-76.5831976 39.3264224,-76.5831151 39.3262854,-76.5830105 39.326135,-76.5829226 39.3260271,-76.5828221 39.3259353,-76.5824566 39.32565,-76.5821213 39.3253902,-76.5819309 39.3252527,-76.5817472 39.3251391,-76.581552 39.3250276,-76.581497 39.3250037,-76.5814529 39.3249917),(-76.5833201 39.3266672,-76.5833561 39.3266375,-76.5833727 39.326614,-76.5833775 39.3265938,-76.5833737 39.3265689,-76.5833566 39.3265418,-76.5833339 39.3265223,-76.5832978 39.3265003,-76.5832689 39.3264908,-76.5832319 39.3264878,-76.5832035 39.3264919,-76.5831835 39.3264989,-76.5831608 39.3265121,-76.5831437 39.3265275,-76.5831319 39.3265465,-76.5831276 39.326563,-76.5831314 39.3265872,-76.5831418 39.3266232,-76.5831541 39.32665,-76.5831755 39.3266727,-76.5832068 39.3266892,-76.5832333 39.3266958,-76.5832623 39.3266929,-76.5832907 39.3266833,-76.5833201 39.3266672)))",r13268641,"13268641",relation,fairway,,multipolygon,grass,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5792718 39.3238165,-76.5792177 39.3238077,-76.5791646 39.3238048,-76.5791201 39.3238129,-76.5790954 39.323832,-76.5790821 39.323854,-76.5790717 39.3238804,-76.5790679 39.3239104,-76.5790698 39.323942,-76.5790802 39.3239699,-76.5790992 39.3239911,-76.5791295 39.3240139,-76.5791921 39.3240396,-76.5793154 39.324077,-76.5794728 39.3241107,-76.5796454 39.3241379,-76.5798228 39.3241569,-76.5800134 39.3241672,-76.5801641 39.3241811,-76.580258 39.3242002,-76.5808204 39.3243168,-76.5810214 39.3243667,-76.581065 39.3243829,-76.5811618 39.324424,-76.5812803 39.3244665,-76.5813097 39.3244709,-76.581341 39.3244665,-76.5813799 39.3244467,-76.5814169 39.3244034,-76.5814349 39.3243528,-76.5814282 39.3242992,-76.5814121 39.3242692,-76.5813732 39.3242413,-76.5813315 39.3242281,-76.581286 39.3242274,-76.5812025 39.3242413,-76.5811011 39.3242618,-76.5810593 39.3242662,-76.581029 39.3242626,-76.5809892 39.3242479,-76.5808175 39.3241709,-76.5806269 39.3240902,-76.5805273 39.3240564,-76.5803861 39.324019,-76.5802277 39.3239919,-76.5797308 39.3239148,-76.5795345 39.323876,-76.5792718 39.3238165),(-76.5813214 39.3244508,-76.5813643 39.3244378,-76.5813891 39.324415,-76.5814085 39.3243833,-76.5814146 39.3243496,-76.5814099 39.3243092,-76.5813877 39.3242765,-76.5813549 39.3242526,-76.5813247 39.3242417,-76.5812825 39.3242412,-76.5812 39.3242552,-76.5810994 39.3242775,-76.5810746 39.3242931,-76.5810598 39.3243071,-76.5810545 39.3243252,-76.5810552 39.3243429,-76.5810652 39.3243615,-76.5810907 39.3243792,-76.5811242 39.3243942,-76.5811832 39.324416,-76.5812724 39.3244461,-76.5813214 39.3244508)))",r13268642,"13268642",relation,fairway,,multipolygon,grass,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5816046 39.3259711,-76.5816388 39.3259358,-76.5816473 39.325905,-76.5816407 39.3258728,-76.5816188 39.3258412,-76.5815563 39.3257811,-76.5812623 39.3255507,-76.580808 39.3252346,-76.5805767 39.3250922,-76.5803974 39.3249969,-76.5802154 39.324914,-76.5799792 39.3248421,-76.5798218 39.3247944,-76.5796483 39.3247335,-76.5795032 39.324677,-76.5793505 39.3246191,-76.5792244 39.3245861,-76.5791087 39.3245714,-76.5790603 39.3245765,-76.5790214 39.3245934,-76.5789958 39.3246169,-76.5789854 39.3246448,-76.5789901 39.3246792,-76.579012 39.3247042,-76.579047 39.3247269,-76.5790945 39.3247445,-76.5792139 39.3247768,-76.5792547 39.3247819,-76.5793002 39.3247783,-76.5793344 39.3247761,-76.5793685 39.3247841,-76.5796397 39.3248846,-76.5800115 39.325049,-76.5803946 39.3252786,-76.5808384 39.3255713,-76.581267 39.3258918,-76.5814197 39.3259945,-76.5814595 39.3260055,-76.5815069 39.326007,-76.5815591 39.3259953,-76.5816046 39.3259711),(-76.5792125 39.3247661,-76.5792554 39.3247682,-76.579297 39.3247635,-76.5793231 39.3247495,-76.5793372 39.3247283,-76.5793419 39.3246997,-76.5793325 39.3246665,-76.579309 39.3246365,-76.5792762 39.3246142,-76.5792266 39.3245991,-76.5791307 39.3245836,-76.5790797 39.3245856,-76.5790408 39.3246002,-76.5790133 39.324623,-76.5790053 39.3246484,-76.5790086 39.3246769,-76.5790261 39.3246972,-76.5790542 39.3247158,-76.5790998 39.324734,-76.5792125 39.3247661)))",r13270693,"13270693",relation,fairway,,multipolygon,grass,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5795824 39.322649,-76.5795019 39.3225811,-76.5794849 39.3225245,-76.5795141 39.3224717,-76.5795995 39.3224246,-76.5797238 39.3223925,-76.5801432 39.3224359,-76.5804236 39.322468,-76.5806602 39.3224925,-76.5808699 39.3225359,-76.5810601 39.3225962,-76.5812015 39.3226094,-76.5812551 39.3226585,-76.5813063 39.3226887,-76.5813917 39.3227056,-76.5813649 39.3227566,-76.5813746 39.3227981,-76.5812771 39.3227773,-76.5809381 39.3227849,-76.5805748 39.3227943,-76.580131 39.322732,-76.5795824 39.322649)))",w1035250885,"1035250885",way,fairway,grass,,,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5801099 39.3214008,-76.5800116 39.3214389,-76.5797689 39.3214698,-76.5792282 39.3214816,-76.5787366 39.3214935,-76.5784018 39.3215149,-76.5782881 39.3215078,-76.5782359 39.3214507,-76.5781621 39.3214222,-76.5781775 39.3213771,-76.5781529 39.3213176,-76.578199 39.3212939,-76.5787274 39.321225,-76.5794156 39.3211251,-76.5799071 39.3210586,-76.5800576 39.3210515,-76.5801775 39.3211584,-76.5802143 39.3212392,-76.5801099 39.3214008)))",w1035251364,"1035251364",way,fairway,grass,,,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5766017 39.3206281,-76.5767089 39.3206149,-76.5769845 39.320581,-76.5772405 39.3205055,-76.5775526 39.3204301,-76.5778208 39.3203357,-76.5780696 39.320232,-76.5782866 39.3201301,-76.5783524 39.3200377,-76.5783402 39.3199792,-76.5782402 39.3199358,-76.5780817 39.3199434,-76.5778306 39.3200075,-76.5775185 39.3201056,-76.5772698 39.3201905,-76.5770015 39.3203037,-76.5768016 39.3204018,-76.5765895 39.3205263,-76.5766187 39.3205678,-76.5766017 39.3206281)))",w1035393733,"1035393733",way,fairway,grass,,,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5765885 39.3197054,-76.5765266 39.3196739,-76.5765227 39.319614,-76.5765711 39.3195527,-76.5766969 39.3194419,-76.5768594 39.319343,-76.5771923 39.3191559,-76.5773897 39.3190571,-76.5775407 39.3189972,-76.5776103 39.3189837,-76.5776355 39.3190454,-76.5776568 39.3190765,-76.5777284 39.3191095,-76.5775639 39.3192188,-76.5773278 39.3193625,-76.5771478 39.3194628,-76.5769136 39.3195811,-76.5767104 39.3196799,-76.5765885 39.3197054)))",w1035393740,"1035393740",way,fairway,grass,,,,,,,,fairways,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
