WKT,full_id,osm_id,osm_type,golf,natural,type,surface,layer,path
"MULTIPOLYGON (((-76.5845411 39.3258133,-76.58454 39.3257984,-76.5845279 39.3257805,-76.5845092 39.3257673,-76.5844839 39.3257566,-76.5844553 39.3257524,-76.5844261 39.3257571,-76.5843991 39.325766,-76.5843782 39.3257813,-76.5843725 39.3257855,-76.5843584 39.3257958,-76.5843358 39.3258133,-76.584311 39.3258324,-76.5842885 39.3258507,-76.5842654 39.3258673,-76.5842483 39.3258852,-76.5842384 39.3259069,-76.5842377 39.3259265,-76.5842415 39.3259442,-76.5842491 39.32596,-76.5842574 39.325971,-76.584267 39.3259835,-76.584277 39.3259953,-76.5842917 39.3260042,-76.5843089 39.3260086,-76.5843255 39.3260086,-76.5843398 39.3260064,-76.5843589 39.3259994,-76.5843779 39.3259832,-76.5843913 39.3259703,-76.584407 39.3259493,-76.5844241 39.3259338,-76.5844361 39.3259201,-76.5844491 39.3259056,-76.584463 39.325892,-76.5844744 39.325882,-76.584491 39.3258731,-76.5845043 39.3258648,-76.5845154 39.3258567,-76.5845268 39.3258478,-76.5845343 39.3258379,-76.5845379 39.3258266,-76.5845411 39.3258133)))",w763069742,"763069742",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5813746 39.3227981,-76.5814258 39.3228264,-76.5814892 39.3228509,-76.5815648 39.3228396,-76.5816184 39.3228245,-76.5816453 39.3228056,-76.5816526 39.3227641,-76.5816379 39.3227283,-76.5816184 39.3226924,-76.5815843 39.3226717,-76.5815282 39.3226622,-76.5814673 39.3226717,-76.5814209 39.3226868,-76.5813917 39.3227056,-76.5813649 39.3227566,-76.5813746 39.3227981)))",w1035250886,"1035250886",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5780638 39.321465,-76.5779379 39.3214579,-76.5778303 39.3214436,-76.5777443 39.3213866,-76.5777443 39.3213248,-76.5777904 39.3212725,-76.5778334 39.321244,-76.5779071 39.3212535,-76.5780054 39.3212725,-76.5780945 39.3212891,-76.5781529 39.3213176,-76.5781775 39.3213771,-76.5781621 39.3214222,-76.5781253 39.3214531,-76.5780638 39.321465)))",w1035251360,"1035251360",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5791379 39.3201683,-76.5790915 39.3201788,-76.5790489 39.3201713,-76.5790111 39.3201522,-76.5789695 39.3201129,-76.5789502 39.3200695,-76.5789637 39.3200291,-76.5789908 39.3200006,-76.5790179 39.3199826,-76.5790566 39.3199707,-76.5791031 39.3199677,-76.5791534 39.3199961,-76.579196 39.3200231,-76.5792289 39.3200575,-76.5792327 39.3200919,-76.579225 39.3201204,-76.579194 39.3201533,-76.5791379 39.3201683)))",w1035393726,"1035393726",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5766017 39.3206281,-76.5765358 39.3206545,-76.576448 39.3206866,-76.5763724 39.3207036,-76.5762969 39.3207149,-76.5762383 39.3207149,-76.576214 39.3206659,-76.5762188 39.32063,-76.5762359 39.3205979,-76.5762578 39.3205772,-76.5763212 39.3205489,-76.5763895 39.3205263,-76.5764578 39.3205131,-76.5765212 39.3205131,-76.5765895 39.3205263,-76.5766187 39.3205678,-76.5766017 39.3206281)))",w1035393734,"1035393734",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5777284 39.3191095,-76.5777845 39.3190885,-76.5778484 39.3190571,-76.5778929 39.3190077,-76.5779123 39.3189612,-76.5779181 39.3189103,-76.5779006 39.3188864,-76.57786 39.3188699,-76.5777845 39.3188744,-76.5777129 39.3188834,-76.5776665 39.3189193,-76.5776297 39.3189433,-76.5776103 39.3189837,-76.5776355 39.3190454,-76.5776568 39.3190765,-76.5777284 39.3191095)))",w1035393741,"1035393741",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5817741 39.3184154,-76.5817295 39.3183795,-76.5817005 39.3183421,-76.5817218 39.3182822,-76.5817334 39.3182552,-76.5818166 39.3182507,-76.5819192 39.3182702,-76.5819947 39.3182986,-76.5820334 39.3183196,-76.5820508 39.318366,-76.5820373 39.3184139,-76.5820082 39.3184409,-76.5819637 39.3184528,-76.5819037 39.3184513,-76.5818457 39.3184409,-76.5817741 39.3184154)))",w1035393751,"1035393751",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5821226 39.319467,-76.5820975 39.3194431,-76.5820628 39.3194303,-76.5820123 39.3194401,-76.5819814 39.3194805,-76.5819543 39.3195449,-76.5819601 39.3196078,-76.581991 39.3196437,-76.5820355 39.3196497,-76.5820859 39.3196407,-76.582111 39.3196048,-76.5821246 39.3195643,-76.5821343 39.3195179,-76.5821226 39.319467)))",w1035396264,"1035396264",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5818927 39.3211216,-76.5817917 39.3211304,-76.581722 39.3211708,-76.5817104 39.3212202,-76.5817336 39.3212756,-76.5817859 39.3213235,-76.5818401 39.321337,-76.5819059 39.32134,-76.5819581 39.3213325,-76.5819949 39.3213116,-76.5820201 39.3212711,-76.5820297 39.3212382,-76.5820278 39.3211978,-76.5820046 39.3211634,-76.5819562 39.3211304,-76.5818927 39.3211216)))",w1035398155,"1035398155",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5850579 39.3224004,-76.5850579 39.3223659,-76.5850579 39.322336,-76.5850481 39.3223229,-76.585105 39.3222969,-76.5851676 39.3222682,-76.5852399 39.3222836,-76.585296 39.322312,-76.5853192 39.3223539,-76.5853134 39.3223974,-76.585296 39.3224408,-76.5852592 39.3224677,-76.5851973 39.3224827,-76.5851392 39.3224797,-76.5850889 39.3224513,-76.5850579 39.3224004)))",w1035400119,"1035400119",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5841407 39.3248559,-76.5840748 39.3248483,-76.583987 39.3248747,-76.5839407 39.3249181,-76.5839285 39.3249709,-76.5839675 39.3250275,-76.5840065 39.3250577,-76.5840699 39.3250728,-76.5841309 39.3250596,-76.5841821 39.3250388,-76.5842284 39.3250105,-76.5842479 39.3249728,-76.5842236 39.3249143,-76.5841992 39.3248823,-76.5841407 39.3248559)))",w1035402100,"1035402100",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5868532 39.3218234,-76.5868048 39.3218309,-76.5867758 39.3218309,-76.586741 39.3218054,-76.5867293 39.321756,-76.5867448 39.3216842,-76.5867951 39.3216333,-76.5868416 39.3216018,-76.586888 39.3215928,-76.5869442 39.3216033,-76.5869577 39.3216273,-76.5869577 39.3216572,-76.586919 39.3217321,-76.5868532 39.3218234)))",w1035403717,"1035403717",way,green,grass,,,greens,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5830259 39.3241707,-76.5830467 39.3241561,-76.5830614 39.3241385,-76.5830715 39.3241177,-76.5830773 39.3240953,-76.5830745 39.3240748,-76.5830622 39.3240425,-76.5830393 39.3240114,-76.5830226 39.3239943,-76.5829991 39.3239824,-76.5829749 39.3239746,-76.5829468 39.3239735,-76.58292 39.3239777,-76.5828717 39.323999,-76.5828529 39.324014,-76.5828375 39.324043,-76.5828314 39.3240638,-76.5828294 39.324097,-76.5828361 39.3241177,-76.5828556 39.3241463,-76.5828744 39.3241624,-76.5828965 39.3241758,-76.582922 39.3241862,-76.5829367 39.3241893,-76.5829642 39.3241888,-76.5830051 39.324181,-76.5830259 39.3241707)))",w949383969,"949383969",way,green,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&uid={98d0ce8a-2871-4ce8-939e-b432cc0d282c}"
