WKT,full_id,osm_id,osm_type,golf,surface,highway,golf_cart,bicycle,ref,par,natural,type,layer,path
"MULTIPOLYGON (((-76.5876255 39.3223437,-76.5876294 39.3223645,-76.5876277 39.322388,-76.5876207 39.3224053,-76.5876111 39.3224211,-76.5876037 39.3224353,-76.5875928 39.3224492,-76.5875766 39.3224676,-76.5875573 39.3224984,-76.5875419 39.3225093,-76.5875242 39.3225151,-76.5875088 39.3225179,-76.5874894 39.3225105,-76.5874781 39.3224953,-76.58747 39.3224793,-76.5874431 39.3224377,-76.5874282 39.3224102,-76.5874156 39.3223873,-76.5874062 39.3223644,-76.5873917 39.3223426,-76.5873814 39.322319,-76.5873732 39.3222988,-76.5873676 39.3222791,-76.58737 39.322262,-76.5873891 39.3222502,-76.5874088 39.3222445,-76.5874261 39.3222554,-76.5874424 39.3222624,-76.587466 39.3222711,-76.587487 39.3222735,-76.5875109 39.322279,-76.5875413 39.3222842,-76.5875713 39.3222879,-76.5875966 39.3222974,-76.5876103 39.3223128,-76.5876146 39.3223296,-76.5876255 39.3223437)))",w763069740,"763069740",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.581489 39.3231244,-76.5815105 39.3231114,-76.5815118 39.3231005,-76.5815084 39.3230907,-76.5814897 39.3230767,-76.5814628 39.3230777,-76.5814273 39.3230933,-76.5814079 39.3231083,-76.5814065 39.3231187,-76.5814132 39.3231285,-76.5814266 39.3231327,-76.581489 39.3231244)))",w987380166,"987380166",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5816285 39.3231519,-76.5816426 39.3231482,-76.58166 39.3231332,-76.5816741 39.3231088,-76.5817063 39.3230222,-76.5817049 39.3230087,-76.5816975 39.3229926,-76.5816882 39.3229848,-76.5816613 39.3229781,-76.5816345 39.3229802,-76.581609 39.3229874,-76.5815862 39.3229973,-76.5815675 39.3230139,-76.5815386 39.3231083,-76.5815366 39.3231296,-76.5815426 39.3231399,-76.5815534 39.3231472,-76.5815809 39.323154,-76.5816285 39.3231519)))",w987380167,"987380167",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5841129 39.3262139,-76.5840835 39.3262014,-76.5840531 39.3262058,-76.5840057 39.3262388,-76.584 39.3262579,-76.5840171 39.3262887,-76.5841176 39.3264134,-76.5841612 39.3264486,-76.5841925 39.3264552,-76.5842362 39.3264405,-76.5842627 39.3264163,-76.5842551 39.3263855,-76.5841129 39.3262139)))",w987380170,"987380170",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5802969 39.3246246,-76.5802874 39.3246173,-76.5802846 39.3246055,-76.5803031 39.3245494,-76.5803168 39.3245406,-76.5803339 39.324538,-76.5804178 39.3245509,-76.580442 39.3245604,-76.5804501 39.3245725,-76.5804486 39.3245905,-76.5804325 39.3246378,-76.5804164 39.3246484,-76.5803955 39.3246499,-76.5803732 39.3246462,-76.5802969 39.3246246)))",w987528877,"987528877",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5802082 39.3245985,-76.5802272 39.3245868,-76.5802372 39.3245725,-76.5802386 39.3245556,-76.5802372 39.3245439,-76.5802277 39.3245329,-76.5802063 39.3245263,-76.580139 39.3245153,-76.5800693 39.3245101,-76.58003 39.3245171,-76.5800176 39.3245267,-76.5800138 39.3245395,-76.5800205 39.3245494,-76.5800527 39.3245626,-76.58014 39.324593,-76.5801769 39.3246004,-76.5802082 39.3245985)))",w987528878,"987528878",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5783072 39.3236722,-76.5782898 39.3236774,-76.5782797 39.3236895,-76.5782807 39.3237039,-76.5782925 39.3237151,-76.5783106 39.3237188,-76.578328 39.3237136,-76.5783381 39.3237015,-76.5783371 39.3236871,-76.5783253 39.3236759,-76.5783072 39.3236722)))",w987528882,"987528882",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5780893 39.3237116,-76.5781087 39.3237152,-76.5781369 39.3237105,-76.578145 39.3237017,-76.5781671 39.3236509,-76.5781771 39.3235876,-76.5781745 39.3235767,-76.5781624 39.3235705,-76.5781181 39.3235523,-76.5780658 39.3235388,-76.5780464 39.3235446,-76.578031 39.3235549,-76.5780202 39.3235798,-76.5779914 39.3236488,-76.5779921 39.3236722,-76.5780008 39.3236856,-76.5780209 39.3236945,-76.5780893 39.3237116)))",w987528883,"987528883",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5770641 39.322356,-76.5770471 39.3222621,-76.5770281 39.3222423,-76.576994 39.3222393,-76.5769172 39.3222518,-76.576902 39.3222665,-76.5768963 39.322287,-76.5769153 39.3223655,-76.5769323 39.3223794,-76.5769608 39.3223794,-76.577049 39.3223677,-76.5770641 39.322356)))",w987700797,"987700797",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5769547 39.3231903,-76.5769748 39.323183,-76.5770895 39.3230876,-76.5771056 39.3230658,-76.5771043 39.3230512,-76.577062 39.3230118,-76.5770198 39.3229885,-76.5769842 39.3229869,-76.5769547 39.3230004,-76.5768622 39.3230715,-76.5768441 39.3230984,-76.5768448 39.3231187,-76.5768541 39.3231394,-76.5768904 39.3231674,-76.5769279 39.3231877,-76.5769547 39.3231903)))",w987700798,"987700798",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.582826 39.3271279,-76.5828725 39.3271059,-76.582909 39.3270776,-76.5829266 39.3270527,-76.582928 39.3270402,-76.5829223 39.3270248,-76.5828602 39.3269749,-76.5828374 39.3269661,-76.582817 39.3269654,-76.5827943 39.3269716,-76.5827383 39.3270054,-76.5827056 39.3270354,-76.5827032 39.3270494,-76.582708 39.3270615,-76.5827435 39.3270967,-76.5827805 39.3271238,-76.5828009 39.3271297,-76.582826 39.3271279)))",w987700812,"987700812",way,tee,,,,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={07e50339-ce5f-4942-a12b-69dedac98698}"
"MULTIPOLYGON (((-76.5781535 39.3229376,-76.5779316 39.3229584,-76.5778853 39.3228471,-76.5781291 39.3228377,-76.5781535 39.3229376)))",w1035250884,"1035250884",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5814141 39.3212796,-76.5813895 39.3211418,-76.5811407 39.3211489,-76.5811468 39.3212915,-76.5814141 39.3212796)))",w1035251358,"1035251358",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5778457 39.3211473,-76.5777812 39.3210974,-76.5779594 39.3209809,-76.5780423 39.3210379,-76.5778457 39.3211473)))",w1035393725,"1035393725",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5795137 39.3192702,-76.5796796 39.3191853,-76.579643 39.3191268,-76.5794796 39.3192174,-76.5794723 39.3192494,-76.5795137 39.3192702)))",w1035393730,"1035393730",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5792197 39.3194412,-76.5794287 39.3193319,-76.5793842 39.3192705,-76.5791675 39.3193843,-76.5792197 39.3194412)))",w1035393731,"1035393731",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5790436 39.3195385,-76.5791113 39.3194966,-76.5790688 39.3194412,-76.5789836 39.3194817,-76.5790436 39.3195385)))",w1035393732,"1035393732",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5755531 39.3203102,-76.5755105 39.3203026,-76.5754958 39.3202611,-76.5755263 39.3202281,-76.5755885 39.3201979,-76.5756373 39.3202102,-76.5756507 39.3202413,-76.5756409 39.3202743,-76.575608 39.3203036,-76.5755531 39.3203102)))",w1035393739,"1035393739",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5780961 39.3194493,-76.5780458 39.319382,-76.5782742 39.3192727,-76.5783361 39.3193385,-76.5780961 39.3194493)))",w1035393744,"1035393744",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5784271 39.3192397,-76.5783884 39.3191948,-76.5782916 39.3192397,-76.5783303 39.3192906,-76.5784271 39.3192397)))",w1035393745,"1035393745",way,tee,,,,,,,grass,,tee_areas,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
